date,adj close,high,low,open,close,closebefore,change,changerat,volume,volumevalue,5ma,10ma,20ma,30ma,60ma,120ma,100ma,5max,5min,predict max,predict min,close_12_ema,close_26_ema,macd,macds,macdh,close_5_ema,close_10_ema,close_20_ema,close_30_ema,close_60_ema,close_120_ema,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,k,d,j
2002/1/18,1149.48,1149.48,1149.48,1149.48,1149.48,1152.15,-2.67,-0.2317,0,0.0,1179.018,1229.36,1237.278182,1237.278182,1237.278182,1237.278182,1237.278182,1189.58,1108.61,3.4885339460000004,-3.555520757,1208.731668563648,1223.6566384750201,-14.924969911372045,-8.752127550620784,-12.345684721502522,1180.3224209161676,1203.6731717004952,1219.6721762016318,1225.4503239117496,1231.3447108627206,1234.3115659030177,0.0,2.913452007732721,2.913452007732721,5.799803621110961,5.799803621110961,-2.859251219023758,-2.859251219023758,-0.588581849903341,-0.552502454736113,-0.660740640237797
2002/1/21,1108.61,1108.61,1108.61,1108.61,1108.61,1149.48,-40.87,-3.5555,0,0.0,1159.71,1210.013,1226.5558330000001,1226.5558330000001,1226.5558330000001,1226.5558330000001,1226.5558330000001,1189.58,1109.99,7.30374072,0.124480205,1190.9303645784094,1209.5213462161812,-18.590981637771847,-10.865100782932641,-15.451761709678411,1156.2326121040307,1184.6797239796485,1204.5423808783178,1211.7647258834531,1219.1395835117512,1222.849785034437,0.0,1.9423013384884806,1.9423013384884806,4.513969526903467,4.513969526903467,-3.201035038341492,-3.201035038341492,-0.6007212332688939,-0.5685753809137066,-0.6650129379792686
2002/1/22,1109.99,1109.99,1109.99,1109.99,1109.99,1108.61,1.38,0.1245,0,0.0,1144.422,1191.741,1217.5892310000002,1217.5892310000002,1217.5892310000002,1217.5892310000002,1217.5892310000002,1189.58,1112.83,7.170334867999999,0.25585816100000003,1176.8760424049913,1197.8612669597787,-20.985224554787465,-13.006870576929556,-15.956707955715817,1140.7387972683216,1170.020427795055,1192.168875238909,1200.4396385640887,1208.9636912004435,1213.2738288231874,0.7993049522155276,1.561302543064163,1.561302543064163,3.529747198957032,3.529747198957032,-2.3755867687215755,-2.3755867687215755,-0.6054837182116979,-0.580878160013037,-0.6546948346090197
2002/1/23,1183.15,1183.15,1183.15,1183.15,1183.15,1109.99,73.16,6.5911,0,0.0,1140.6760000000002,1182.7910000000002,1215.1292859999999,1215.1292859999999,1215.1292859999999,1215.1292859999999,1215.1292859999999,1189.58,1112.83,0.54346448,-5.943456028,1177.9442970671976,1196.2090166048424,-18.26471953764485,-14.106816502475102,-8.315806070339498,1154.9244576463025,1172.5606501686543,1191.0292298101438,1198.601659942787,1206.6942777942115,1210.881328439222,52.79036827195479,18.637657786027706,18.637657786027706,8.565717394647256,8.565717394647256,38.781538568788605,38.781538568788605,-0.3920292776746537,-0.5179285325669093,-0.14023076789014244
2002/1/24,1189.58,1189.58,1189.58,1189.58,1189.58,1183.15,6.43,0.5435,0,0.0,1148.162,1173.623,1213.4260000000002,1213.4260000000002,1213.4260000000002,1213.4260000000002,1213.4260000000002,1221.76,1112.83,2.705156442,-6.451856958,1179.8934765047247,1195.4919193888081,-15.598442884083397,-14.416020942879467,-2.364843882407861,1166.5027459512653,1175.8155049728994,1190.8516295208408,1197.6810806672747,1205.268286600236,1209.2896370023623,83.87197016780596,40.38242857995379,40.38242857995379,19.171287789749435,19.171287789749435,82.80471016036249,82.80471016036249,-0.12021964275057764,-0.38535890262813205,0.41005887700453114
2002/1/25,1189.43,1189.43,1189.43,1189.43,1189.43,1189.58,-0.15,-0.0126,0,0.0,1156.152,1167.585,1211.92625,1211.92625,1211.92625,1211.92625,1211.92625,1221.76,1112.83,2.718108674,-6.440059524,1181.469462203562,1194.8577928232596,-13.388330619697626,-14.204529935608488,1.6323986318217223,1174.156816822291,1178.3948867385225,1190.6820429938336,1196.8695834141806,1204.0120946588943,1207.8872808605454,86.65165648118364,55.8055045470304,55.8055045470304,31.382693375509753,31.382693375509753,104.6511268900717,104.6511268900717,0.07256880683788003,-0.23271633280612808,0.6831390861258961
2002/1/28,1112.83,1112.83,1112.83,1112.83,1112.83,1189.43,-76.6,-6.4401,0,0.0,1156.996,1158.353,1206.097059,1206.097059,1206.097059,1206.097059,1206.097059,1236.97,1140.38,11.15534268,2.475670138,1170.2542350350993,1186.5312555137155,-16.277020478616123,-14.62857672911616,-3.2968874989999257,1153.6937753954874,1166.0672488783014,1181.6131797000744,1188.874754422133,1197.101633339793,1201.5193697511104,4.524498767020497,38.711835953693765,38.711835953693765,33.82574090157109,33.82574090157109,48.48402605793912,48.48402605793912,-0.14110205057882794,-0.2021782387303614,-0.018949674275761018
2002/1/29,1140.38,1140.38,1140.38,1140.38,1140.38,1112.83,27.55,2.4757,0,0.0,1163.0739999999998,1153.748,1202.446111,1202.446111,1202.446111,1202.446111,1202.446111,1246.84,1145.86,9.335484662999999,0.48054157399999997,1165.4191468718664,1181.9715928359813,-16.552445964114895,-15.020409202439307,-3.064073523351176,1149.2528453550447,1161.267260269362,1176.9099363439288,1184.3984114969053,1192.980073144265,1197.620376394774,39.23675435346449,38.88680875361734,38.88680875361734,35.51276351891984,35.51276351891984,45.634899223012326,45.634899223012326,-0.1389148905797833,-0.181090456013502,-0.05456375971234593
2002/1/30,1145.86,1145.86,1145.86,1145.86,1145.86,1140.38,5.48,0.4805,0,0.0,1155.616,1148.146,1199.467895,1199.467895,1199.467895,1199.467895,1199.467895,1246.84,1215.74,8.812594907000001,6.0984762539999995,1162.2786660801034,1178.4899127557505,-16.21124667564709,-15.26205924115872,-1.8983748689767381,1148.1213865102102,1158.4026685360805,1173.4336852994736,1180.9372793384941,1189.6874858320216,1194.468411476325,46.004693096208456,41.25943686781437,41.25943686781437,37.42832130188468,37.42832130188468,48.92166799967376,48.92166799967376,-0.10925703915232035,-0.1571459837264415,-0.013479150004078021
2002/1/31,1221.76,1221.76,1221.76,1221.76,1221.76,1145.86,75.9,6.6238,0,0.0,1162.052,1155.107,1200.5825,1200.5825,1200.5825,1200.5825,1200.5825,1246.84,1215.74,2.0527763230000002,-0.492731797,1171.765460201085,1182.5706108685258,-10.805150667440785,-14.360280728013153,7.110260121144737,1172.6749749745595,1170.134190664593,1178.7551757717201,1184.513118573175,1191.8484524158255,1196.0597400961174,100.0,60.83962457854291,60.83962457854291,45.232089060770754,45.232089060770754,92.05469561408724,92.05469561408724,0.13549530723178638,-0.05959888674036558,0.5256836951760905
