date,close,high,low,open
2002/9/25,1299.52,1299.52,1299.52,1299.52
2002/9/26,1291.38,1291.38,1291.38,1291.38
2002/9/27,1285.65,1285.65,1285.65,1285.65
2002/10/8,1272.94,1272.94,1272.94,1272.94
2002/10/9,1247.53,1247.53,1247.53,1247.53
2002/10/10,1241.55,1241.55,1241.55,1241.55
2002/10/11,1237.14,1237.14,1237.14,1237.14
2002/10/14,1243.74,1243.74,1243.74,1243.74
2002/10/15,1238.97,1238.97,1238.97,1238.97
2002/10/16,1247.72,1247.72,1247.72,1247.72
2002/10/17,1228.26,1228.26,1228.26,1228.26
2002/10/18,1233.67,1233.67,1233.67,1233.67
2002/10/21,1237.36,1237.36,1237.36,1237.36
2002/10/22,1254.74,1254.74,1254.74,1254.74
2002/10/23,1255.64,1255.64,1255.64,1255.64
2002/10/24,1244.56,1244.56,1244.56,1244.56
2002/10/25,1233.58,1233.58,1233.58,1233.58
2002/10/28,1219.43,1219.43,1219.43,1219.43
2002/10/29,1226.78,1226.78,1226.78,1226.78
2002/10/30,1225.94,1225.94,1225.94,1225.94
2002/10/31,1225.34,1225.34,1225.34,1225.34
2002/11/1,1227.85,1227.85,1227.85,1227.85
2002/11/4,1246.8,1246.8,1246.8,1246.8
2002/11/5,1265.73,1265.73,1265.73,1265.73
2002/11/6,1260.05,1260.05,1260.05,1260.05
2002/11/7,1259.87,1259.87,1259.87,1259.87
2002/11/8,1232.94,1232.94,1232.94,1232.94
2002/11/11,1218.36,1218.36,1218.36,1218.36
2002/11/12,1200.92,1200.92,1200.92,1200.92
2002/11/13,1206.42,1206.42,1206.42,1206.42
2002/11/14,1183.64,1183.64,1183.64,1183.64
2002/11/15,1186.92,1186.92,1186.92,1186.92
2002/11/18,1174.82,1174.82,1174.82,1174.82
2002/11/19,1182.64,1182.64,1182.64,1182.64
2002/11/20,1154.9,1154.9,1154.9,1154.9
2002/11/21,1125.38,1125.38,1125.38,1125.38
2002/11/22,1128.07,1128.07,1128.07,1128.07
2002/11/25,1133.17,1133.17,1133.17,1133.17
2002/11/26,1111.05,1111.05,1111.05,1111.05
2002/11/27,1118.96,1118.96,1118.96,1118.96
2002/11/28,1150.58,1150.58,1150.58,1150.58
2002/11/29,1164.62,1164.62,1164.62,1164.62
2002/12/2,1132.93,1132.93,1132.93,1132.93
2002/12/3,1144.63,1144.63,1144.63,1144.63
